,count
1960,47106
1961,43091
1962,111754
1963,53170
1964,68056
1965,36393
1966,58654
1967,41904
1968,33868
1969,0
1970,0
1971,47224
1972,47864
1973,79016
1974,0
1975,35594
1976,0
1977,39317
1978,5
1979,2
1980,40578
1981,37463
1982,166698
1983,41006
1984,43723
1985,5
1986,35190
1987,92447
1988,38890
1989,19795
1990,58626
1991,60937
1992,29633
1993,44842
1994,64853
1995,35615
1996,76049
1997,44092
1998,55466
1999,65788
2000,33117
2001,0
2002,24150
2003,35111
2004,39356
2005,65215
2006,57325
2007,38503
2008,46806
2009,45374
2010,33279
2011,31055
2012,4231
2013,68502
2014,58435
2015,44930
2016,58094
2017,53811
2018,43555
2019,38086
2020,36695
2021,26105
2022,42620
2023,108104
2024,22967
2025,47983
2026,44622
2027,78229
2028,0
2029,111943
2030,0
2031,84926
2032,31747
2033,33027
2034,35048
2035,29570
2036,0
2037,42404
2038,36826
2039,31457
2040,21232
2041,59535
2042,41387
2043,149969
2044,0
2045,33104
2046,56899
2047,1
2048,56867
2049,34502
2050,33178
2051,3
2052,30406
2053,96732
2054,49993
2055,0
2056,50394
2057,59424
2058,47528
2059,50909
2060,73594
2061,40346
2062,99771
2063,26461
2064,81489
2065,71572
2066,55152
2067,53184
2068,61133
2069,95224
2070,0
2071,54471
2072,15984
2073,0
2074,48415
2075,0
2076,16656
2077,3
2078,3
2079,22044
2080,44375
2081,0
2082,32996
2083,66163
2084,47445
2085,49805
2086,36229
2087,36213
2088,74526
2089,53738
2090,30386
2091,21486
2092,40322
2093,146679
2094,27071
2095,48393
2096,81511
2097,44153
2098,55856
2099,40972
2100,35912
2101,54824
2102,48749
2103,24214
2104,0
2105,68361
2106,47778
2107,31334
2108,51624
2109,48368
2110,34596
2111,66884
2112,56095
2113,41715
2114,0
2115,53983
2116,3
2117,0
2118,42121
2119,169157
2120,39103
2121,0
2122,66511
2123,169906
2124,45317
2125,138596
2126,43302
2127,49791
2128,58989
2129,406061
2130,82656
2131,0
2132,60705
2133,0
2134,86016
2135,170104
2136,62680
2137,16670
2138,103961
2139,35046
2140,1
2141,30885
2142,34689
2143,85405
2144,24561
2145,53900
2146,89824
2147,37749
2148,43753
2149,34876
2150,45485
2151,60283
2152,46322
2153,30975
2154,55952
2155,54179
2156,43937
2157,47239
2158,56555
2159,134789
2160,41713
2161,138908
2162,1
2163,58270
2164,31864
2165,143035
2166,67830
2167,37043
2168,45950
2169,82711
2170,50792
2171,30423
2172,61144
2173,18753
2174,1
2175,35908
2176,0
2177,75472
2178,37767
2179,57155
2180,49555
2181,57329
2182,64182
2183,49117
2184,34870
2185,37504
2186,43526
2187,37583
2188,71723
2189,46978
2190,62589
2191,30960
2192,0
2193,59195
2194,30126
2195,107468
2196,59894
2197,39666
2198,0
2199,85697
2200,37025
2201,66879
2202,46974
2203,48137
2204,25892
2205,48923
2206,40661
2207,62495
2208,73778
2209,2
2210,38717
2211,92729
2212,76119
2213,44643
2214,0
2215,52784
2216,63618
2217,77684
2218,19943
2219,47922
2220,51688
2221,46053
2222,41797
2223,38760
2224,58498
2225,43334
2226,40026
2227,42816
2228,30906
2229,83188
2230,1
2231,42727
2232,105456
2233,54142
2234,104495
2235,41200
2236,52938
2237,46875
2238,49582
2239,56313
2240,52104
2241,36627
2242,39657
2243,40076
2244,76273
2245,0
2246,20248
2247,0
2248,31415
2249,32253
2250,0
2251,109282
2252,50288
2253,67412
2254,32644
2255,48455
2256,45450
2257,63372
2258,69045
2259,1
2260,57839
2261,84807
2262,6
2263,64348
2264,73071
2265,18169
2266,55679
2267,60069
2268,53623
2269,46667
2270,99571
2271,47470
2272,52395
2273,40423
2274,38839
2275,16312
2276,58547
2277,122648
2278,42494
2279,48367
2280,0
2281,67851
2282,1
2283,65718
2284,2
2285,19157
2286,33131
2287,29569
2288,0
2289,49656
2290,0
2291,33786
2292,31911
2293,19830
2294,82884
2295,44584
2296,74688
2297,46785
2298,52286
2299,69709
2300,37530
2301,32234
2302,62157
2303,0
2304,40513
2305,73244
2306,0
2307,0
2308,0
2309,78803
2310,53946
2311,60321
2312,87787
2313,46361
2314,3
2315,93987
2316,99263
2317,34884
2318,23844
2319,0
2320,55194
2321,86520
2322,132648
2323,41686
2324,36627
2325,22794
2326,70433
2327,100897
2328,8
2329,70368
2330,19481
2331,39777
2332,32346
2333,319918
2334,87417
2335,51340
2336,66844
2337,41660
2338,41493
2339,33884
2340,31800
2341,0
2342,55856
2343,57032
2344,57802
2345,0
2346,57581
2347,65271
2348,45495
2349,83050
2350,156468
2351,3
2352,28785
2353,67264
2354,98866
2355,40006
2356,71329
2357,0
2358,37779
2359,43422
2360,49747
2361,0
2362,0
2363,42619
2364,42958
2365,62845
2366,1
2367,4
2368,24754
2369,26578
2370,9911
2371,32736
2372,50678
2373,33281
2374,91604
2375,0
2376,39135
2377,24473
2378,35414
2379,43964
2380,36331
2381,55339
2382,62518
2383,39611
2384,5
2385,38392
2386,68738
2387,54947
2388,0
2389,76869
2390,0
2391,0
2392,67637
2393,21563
2394,56529
2395,128183
2396,70600
2397,115532
2398,25686
2399,35078
2400,26679
2401,38205
2402,62291
2403,69422
2404,42302
2405,85259
2406,74356
2407,66239
2408,22611
2409,0
2410,34783
2411,75610
2412,76835
2413,36406
2414,62173
2415,40129
2416,71865
2417,34720
2418,97539
2419,79288
2420,59016
2421,98536
2422,36014
2423,124003
2424,1
2425,24959
2426,28553
2427,458905
2428,39253
2429,62741
2430,50152
2431,67221
2432,50855
2433,32875
2434,44262
2435,38475
2436,71991
2437,32529
2438,0
2439,39736
2440,59335
2441,40695
2442,65156
2443,67157
2444,101997
2445,118158
2446,9685
2447,25991
2448,40256
2449,0
2450,58640
2451,71709
2452,685618
2453,32614
2454,51036
2455,29351
2456,26511
2457,153204
2458,0
2459,55886
2460,66184
2461,0
2462,56421
2463,46488
2464,57484
2465,67698
2466,35678
2467,83161
2468,50349
2469,43505
2470,15489
2471,71615
2472,22943
2473,89219
2474,54087
2475,39751
2476,30303
2477,16132
2478,0
2479,18175
2480,29007
2481,65594
2482,49999
2483,53924
2484,48591
2485,48768
2486,42237
2487,34620
2488,17554
2489,162650
2490,38435
2491,69321
2492,17519
2493,59503
2494,18586
2495,53488
2496,2
2497,73116
2498,5
2499,73676
2500,158928
2501,55136
2502,106413
2503,43540
2504,42906
2505,66916
2506,76772
2507,53599
2508,30152
2509,50068
2510,46838
2511,65449
2512,46110
2513,35683
2514,56432
2515,48134
2516,38434
2517,41355
2518,90454
2519,23056
2520,32821
2521,36898
2522,68880
2523,53120
2524,29620
2525,19368
2526,35893
2527,82361
2528,23477
2529,71583
2530,1
2531,47308
2532,46399
2533,0
2534,53574
2535,35087
2536,37946
2537,0
2538,40085
2539,42689
2540,13552
2541,72618
2542,44545
2543,97317
2544,44003
2545,0
2546,13223
2547,160371
2548,29533
2549,41606
2550,5
2551,80101
2552,40461
2553,0
2554,72080
2555,419659
2556,55248
2557,72134
2558,71475
